Candidate,Source_Description,URL
Sharon Williamson,2026 House of Reps Elections GA (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Georgia
Juliana Stratton,Illinois signed law restricting AI in therapy (Holland & Knight Law),https://www.hklaw.com/en/insights/publications/2025/08/new-illinois-law-restricts-use-of-ai-in-mental-health-therapy
Linda Sanchez,Linda Sanchez Website (House.gov),https://lindasanchez.house.gov/
Paperboy Prince,2026 US House of Reps Elections NY (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_York
Andrew Garbarino,"Advocated for broad, expert-guided AI regulation with built-in cybersecurity protections (House.gov Press Release)",https://garbarino.house.gov/media/in-the-news/remaining-vigilant-garbarino-wields-powerful-homeland-security-gavel
Adriano Espaillat,Announced AI literacy bill and roundtable (House.gov Press Release),https://espaillat.house.gov/media/press-releases/representative-adriano-espaillat-leads-ai-leadership-roundtable-equity-access
Destiny Wells,2026 US House of Reps. Elections IN (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Indiana
Kristen McDonald Rivet,Introduced bill requiring AI disclosure and job-loss report (House.gov Press Release),https://mcdonaldrivet.house.gov/media/press-releases/mcdonald-rivet-fitzpatrick-introduce-bill-keep-call-center-jobs-america-and
Tom Tiffany,"Campaign ad likely AI-generated, lacked required disclosure (Isthmus)",https://isthmus.com/news/news/disclaimer-missing-on-likely-ai-generated-tom-tiffany-campaign-ad/
Lamont McClure,"Focuses on taxes, opioids, labor, and healthcare (Lamont McClure Campaign Site)",https://mcclureforpa.com/
Royal Webster,2026 US House of Reps. Elections FL (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Florida
Andy Biggs,"Discussed Arizona energy needs, AI data centers, and SMRs (ASU News)",https://news.asu.edu/20250818-local-national-and-global-affairs-us-rep-andy-biggs-arizona-energy-path-asu-event
Mike Nichols,2026 US House of Reps. Elections LA (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Louisiana
Effie Phillips-Staley,"Lists priorities as housing, childcare, Medicare for All, and abolishing ICE (Effie Phillips-Staley Campaign Site)",https://effieforcongress.com/
Sarah Zabel,2026 US House of Reps. Elections ID (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Idaho
Derek Schmidt,Cosponsored bipartisan bills to combat child exploitation and AI-generated abuse material (House.gov Press Release),https://schmidt.house.gov/media/press-releases/rep-derek-schmidt-backs-legislation-fight-child-exploitation
Nathan Sage,No announced position on AI (NBC News),https://www.nbcnews.com/politics/2026-election/iowa-sen-joni-ernst-first-democratic-challenger-2026-nathan-sage-rcna201299
Jessica Forgy,2026 US House of Reps. Elections TX (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Texas
Grayson Hunt,2026 US House of Reps. Elections MO (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Missouri
Ty Masterson,"No AI record found despite serving as Kansas Senate President during active AI legislation (HB 2592 task force, SB 405, HB 2183 deepfakes) (Kansas Reflector)",https://kansasreflector.com/2025/07/20/kansas-senate-president-ty-masterson-launches-republican-campaign-for-governor/
Kevin Coughlin,No announced position on AI (Kevin Coughlin Campaign Site),https://kevincoughlin.com/
Katie Porter,Campaign Website for Governor (Katie Porter Campaign Site),https://katieporter.com/
Josh Williams,Framed AI as part of Trump agenda (WOWO),https://wowo.com/the-big-beautiful-breakdown-artificial-intelligence/
Austin Rogers,2026 US House of Reps. Elections FL (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Florida
Tim Veldhuizen,2026 US House of Reps. Elections CO (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_Colorado
Mike Rounds,Co-chaired bipartisan Senate AI Working Group; released 2024 national AI policy roadmap; introduced 5-bill AI package; said Congress is 'three years behind' on regulation (Senate.gov Press Release),https://www.rounds.senate.gov/newsroom/press-releases/rounds-introduces-artificial-intelligence-policy-package
Lynne Walz,No announced position on AI (Nebraska Examiner),https://nebraskaexaminer.com/2026/01/21/former-state-sen-lynne-walz-confirms-2026-democratic-bid-for-governor/
Joshua Elliott,No announced position on AI (Ballotpedia),"https://ballotpedia.org/Connecticut_gubernatorial_and_lieutenant_gubernatorial_election,_2026"
Shawn Harris,2026 US House of Reps Elections GA (Wikipedia),https://en.wikipedia.org/wiki/2026_Georgia%27s_14th_congressional_district_special_election
Beth Farnham,No announced position on AI (Beth Farnham Campaign Site),https://bethfarnhamforcongress.com/
Briscoe Cain,No announced position on AI (Yahoo News),https://www.yahoo.com/news/articles/u-representative-texas-9th-congressional-071616819.html
Joe Baldacci,No announced position on AI (Bangor Daily News),https://www.bangordailynews.com/2026/01/12/politics/elections/joe-baldacci-2nd-district/
Justin Barbera,2026 US House of Reps. Elections NJ (Wikipedia),https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
